Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
3464,Cass,Motley,4.0,4.0,8.0,2.0,,
Aaron,Douglas,Millerville,610.0,467.0,16.0,6.8,21024200.0,"Named after Aaron, the older brother of Moses in the Hebrew Bible.[8]"
Abbey,Becker,Detroit Lakes,269.0,269.0,7.0,,,
Abbey,Wright,West Albion,26.0,26.0,,3.68,,
Abbie,Wright,Buffalo,117.0,117.0,17.0,1.71,,
Abita,Cook,Grand Marais,93.0,93.0,14.0,7.0,,
Achman,Stearns,Avon,47.0,47.0,30.0,12.0,,
Acorn,Becker,Frazee,154.0,51.0,55.0,9.4,,
Ada,Cass,Backus,974.0,424.0,60.0,15.0,,
Addie,McLeod,Brownton,168.0,,,,,"Lake Named for Addie Hoag, the daughter of settler Charles Hoag.[8]"
Adelman's Pond,Hennepin,Bloomington,5.0,5.0,12.0,7.0,,
Adley,Otter Tail,Parkers Prairie,239.0,238.0,20.0,2.6,,
Agassiz-Oslon WMA,Norman,Flaming,77.0,77.0,3.0,0.7,,
Agnes,Douglas,Alexandria,137.0,61.0,31.0,11.0,,
Agnes,St. Louis,Ely,984.0,453.0,30.0,7.0,,
Ahmakose,St Louis,Prairie Portage,42.71,9.0,68.0,12.8,,
Aitkin,Aitkin,Libby,487.0,453.0,35.0,6.3,,
Albert,Douglas,Evansville,165.0,,,3.0,,"Named for Ole Alberts, a pioneer farmer who settled there.[8]: 182"
Albert,Wright,Buffalo,32.0,32.0,7.0,2.16,,
Albert,Wright,Rassat,57.88,29.0,47.0,1.2,,
Albert Lea,Freeborn,Albert Lea,2654.0,2654.0,6.0,1.0,24001400.0,
Albion,Wright,Albion Center,240.0,240.0,9.0,2.1,,
Alden (Big),St. Louis,Duluth,180.0,159.0,29.0,6.2,,
Alexander,Morrison,Randall,2708.72,842.0,64.0,10.9,49007900.0,
Alice,Hubbard,Lake George,127.0,96.0,21.0,5.0,,
Alice,Lake,Ely,1566.0,438.0,53.0,12.0,,
Alimagnet,Dakota,Apple Valley,103.59,103.59,11.5,2.3,,
Allen,Clearwater,Lake Itasca,,,,,,
Allie,Renville,Buffalo Lake,509.0,509.0,12.0,5.0,,
Alma,Pine,Saint Johns Landing Camp,23.0,23.0,26.0,11.8,,
Alomestria Pond,Morrison,Pierz,,,,,,
Alott,Morrison,Fort Ripley,37.22,32.0,34.0,8.6,,
Alumni,Stearns,Fairhaven,2.0,2.0,5.0,3.0,,
Altermatt,Brown,Leavenworth,122.0,,5.0,2.0,8005400.0,"Named for John B. Altermatt, a Swiss settler.[8]: 72"
Amber,Martin,Fairmont,182.09,108.0,19.0,1.3,,
Amelia,Pope,Villard,934.0,377.0,69.0,7.0,,
Amen,Itasca,Deer River,198.0,107.0,75.0,11.0,,
Amiret WMA,Lyon,Amiret,11.0,11.0,6.0,1.0,,
Amos,Douglas,Brandon,88.0,,,2.0,,
Amundsen,St. Louis,Kettle Falls,100.0,77.0,18.0,8.0,,
Anchor,St. Louis,Central Lakes,145.0,,5.0,3.0,,
Anchor Hill 1,Clearwater,Lake Itasca,,,,,,
Anchor Hill 2,Clearwater,Lake Itasca,,,,,,
Anchor Hill 3,Clearwater,Lake Itasca,,,,,,
Anderson,Itasca,Bigfork,274.0,71.0,110.0,9.0,,
Anderson,Renville,Franklin,14.0,14.0,8.0,2.0,,
Andrew,Douglas,Alexandria,923.0,323.0,83.0,7.9,,
Andrew,Kandiyohi,New London,759.0,293.0,26.0,12.2,,
Andrew Nelson,Meeker,Litchfield,138.0,138.0,,4.3,,
Andrusia,Beltrami,Cass Lake,1590.0,423.0,60.0,5.5,4003800.0,
Angus,Wright,Maple Lake,66.0,66.0,7.0,4.4,,
Ann,Crow Wing,Deerwood,46.6,26.0,46.0,13.0,,
Ann,Carver,Chanhassen,116.0,45.0,45.0,7.5,,
Ann,Kanabec,Ogilvie,653.0,600.0,17.0,3.2,,
Ann,Pope,Glenwood,356.0,356.0,14.0,6.4,,
Ann,Sherburne,Zimmerman,184.0,138.0,26.0,11.5,,
Ann,Wright,Howard Lake,375.4,295.0,18.5,7.3,,
Anna,Crow Wing,Emily,122.0,102.0,19.0,12.0,,
Anna,Otter Tail,Underwood,538.0,373.0,55.0,5.6,,
Anna,Stearns,Avon,81.0,81.0,27.0,9.0,,
Annie Battle,Otter Tail,Battle Lake,334.0,150.0,51.0,14.5,,
Antler,Itasca,Bigfork,306.0,76.5,90.0,17.0,,
Anway,Cass,Ah-gwah-ching,20.93,4.0,45.0,10.0,,
Apollo Pond,Stearns,Waite Park,4.0,4.0,9.0,6.0,,
Appleby Pool,Winona,Beaver,21.0,21.0,,3.3,,
Arkose,Lake,Prairie Portage,21.0,7.0,37.0,13.0,,
Armstrong,Blue Earth,Butternut,110.0,,,3.0,,
Armstrong,St. Louis,Ely,382.0,102.0,34.0,15.0,,
Arthur,Polk,Fertile,120.0,,,5.0,,
Artichoke,Big Stone,Correll,1970.0,1970.0,15.5,3.0,6000200.0,
"Ash (North, South)",Lincoln,Ivanhoe,,,,,,
Ash,St. Louis,Orr,669.0,195.0,25.0,8.0,,
Asp,Chisago,Stark,22.0,,,8.0,,
Aspinwall,Mahnomen,Beaulieu,363.0,,9.0,4.0,,
Aspinwall,Becker,Pine Point,140.0,,5.0,4.0,,
Athens WMA,Isanti,Isanti,41.0,41.0,7.0,3.0,,
Atkinson,Meeker,Cedar Mills,134.0,,,2.0,,
Auburn,Carver,Victoria,261.0,158.0,37.0,7.9,,
August,Lake,Isabella,228.68,219.0,19.0,7.0,,
Augusta,Cottonwood,Storden,470.0,470.0,4.0,1.0,,
Augusta,Becker,Goldenrod,19.0,19.0,12.0,10.0,,
Augusta,Cottonwood,Stroden,470.0,470.0,4.0,1.0,,
Augusta,Dakota,Mendota,35.0,35.0,33.0,0.96,,
Augusta,St. Louis,Central Lakes,75.0,62.0,19.0,6.0,,
Augusta,Otter Tail,Parkers Prairie,70.0,70.0,48.0,3.0,,
Augusta,Wright,Fairhaven,187.12,65.3,88.0,4.5,,
Augusta Pond,Stearns,Fairhaven,4.0,4.0,25.0,8.0,,
Axe,Cook,Lutsen,54.77,54.77,12.0,9.5,,
Azalea Pond,Morrison,Fort Ripley,,,,,,
Azion,Lake,Winton,46.22,46.22,5.0,5.0,,
Baby,Cass,Hackensack,705.0,248.0,69.0,10.2,,
Bachelor,Aitkin,Aitkin,53.6,30.0,47.0,12.0,,"[9] This 54 acre lake has a maximum depth of 47 feet (14 m). There anglers can catch from 13 varieties of fish including Black Bullhead, Bluegill, Brown Bullhead, Largemouth Bass, Northern Pike, Rock Bass, Yellow Bullhead, Yellow Perch and Pumpkinseed.[10]"
Bachelor,Brown,Sleepy Eye,92.0,92.0,4.0,3.0,,Asserted to be named for a bachelor.[8]
Backes,Stearns,Farming,15.0,15.0,12.0,2.0,,
Bad Axe,Hubbard,Emmaville,271.0,125.0,39.0,17.0,,
